iter	Logloss
0	0.6798886504
1	0.6675730443
2	0.6564639742
3	0.645485035
4	0.6352997666
5	0.6270811187
6	0.6181423231
7	0.6104847468
8	0.6016061009
9	0.5929312312
10	0.5848843001
11	0.5780315695
12	0.5724838738
13	0.5656233879
14	0.5599401263
15	0.5537931319
16	0.5480687732
17	0.5420090416
18	0.5370931315
19	0.5323297635
20	0.5280435017
21	0.5232529595
22	0.5190802188
23	0.5153900192
24	0.5113162355
25	0.5080387178
26	0.5049111775
27	0.5013853057
28	0.4983435627
29	0.4948074929
30	0.4916460305
31	0.4890932405
32	0.4865734259
33	0.4838522166
34	0.4809855489
35	0.4785580046
36	0.4764390252
37	0.4744156746
38	0.4720923084
39	0.4699820613
40	0.4683789343
41	0.4663717357
42	0.4645055987
43	0.4626766508
44	0.4610472961
45	0.4594723509
46	0.4581714685
47	0.4568308935
48	0.4550615457
49	0.4538060656
50	0.4524038142
51	0.451069651
52	0.4497464797
53	0.4483455106
54	0.4472414125
55	0.4460524024
56	0.4450628024
57	0.4440099078
58	0.4429945075
59	0.4419995642
60	0.440799196
61	0.4395840804
62	0.4382863429
63	0.4373178105
64	0.436482554
65	0.4355743851
66	0.4346929935
67	0.4336456864
68	0.4327939116
69	0.4319963937
70	0.4311827545
71	0.4304295092
72	0.4295272331
73	0.4287684003
74	0.4279423037
75	0.4272079277
76	0.4265865843
77	0.4258716578
78	0.425079361
79	0.4244657119
80	0.4237969204
81	0.4231116107
82	0.4225426617
83	0.4219368595
84	0.4212563435
85	0.4206171079
86	0.4201389025
87	0.4197440822
88	0.4193017529
89	0.4187848319
90	0.4182789026
91	0.4178452752
92	0.4172592888
93	0.4167945179
94	0.4162952448
95	0.4159330031
96	0.4153402995
97	0.4147650302
98	0.4141845703
99	0.4136023395
100	0.4131689868
101	0.4126079764
102	0.4120055633
103	0.4116108347
104	0.4111243244
105	0.4108525821
106	0.410412848
107	0.409892202
108	0.4093610526
109	0.4089334096
110	0.4085166668
111	0.4080652997
112	0.407593262
113	0.4072748655
114	0.4069730178
115	0.4065092239
116	0.4061630119
117	0.4057880686
118	0.405552752
119	0.4051956398
120	0.4047656458
121	0.4043541546
122	0.4040469331
123	0.4036589217
124	0.403238057
125	0.4029009744
126	0.4024537293
127	0.4021354855
128	0.4018280503
129	0.4015211036
130	0.4012236526
131	0.4009755427
132	0.4006803206
133	0.4003272693
134	0.4000909757
135	0.3997647933
136	0.399548346
137	0.3993053656
138	0.3989744506
139	0.3985461053
140	0.3983164067
141	0.3980919903
142	0.3977506942
143	0.3974690592
144	0.3971739288
145	0.3968348921
146	0.3965870264
147	0.3963045365
148	0.3959323412
149	0.3957143061
150	0.3954813711
151	0.3952215365
152	0.3949929066
153	0.3946809525
154	0.394496809
155	0.3942350203
156	0.3939905439
157	0.3936988941
158	0.3934824468
159	0.3931548904
160	0.3929418628
161	0.3927024242
162	0.3924690617
163	0.3920734171
164	0.3917179537
165	0.3914396468
166	0.3912253368
167	0.3909767384
168	0.3906906456
169	0.3904909303
170	0.3903151222
171	0.3900652719
172	0.3898123378
173	0.3895902114
174	0.389310561
175	0.389009324
176	0.3887589547
177	0.3885119745
178	0.3882328127
179	0.3879815274
180	0.3877136933
181	0.3874806055
182	0.3871871544
183	0.3870517717
184	0.3868861311
185	0.3866174726
186	0.3864405042
187	0.3861669299
188	0.385929537
189	0.3856705574
190	0.3855023825
191	0.3851791924
192	0.385017979
193	0.3848742914
194	0.3845550094
195	0.3842948391
196	0.3842107821
197	0.3839817858
198	0.3836476649
199	0.383347985
200	0.3831405449
201	0.3829537449
202	0.3827163215
203	0.3825795955
204	0.3823929787
205	0.3820832535
206	0.3819440238
207	0.3817241262
208	0.3814475597
209	0.3812096478
210	0.3810092913
211	0.3807549527
212	0.3804915153
213	0.3802359248
214	0.3799979824
215	0.3797617498
216	0.3795434705
217	0.3793238782
218	0.3790253586
219	0.3787937059
220	0.378666445
221	0.3784175108
222	0.3782828304
223	0.3781043354
224	0.3779499918
225	0.3778299672
226	0.3775625606
227	0.3774442763
228	0.37718319
229	0.3770893626
230	0.3768993872
231	0.3767150909
232	0.3765283521
233	0.376293127
234	0.3760121027
235	0.3757461617
236	0.3755274244
237	0.375314183
238	0.375131108
239	0.3749446745
240	0.3747317384
241	0.3746112864
242	0.3744600572
243	0.3742270305
244	0.3740211475
245	0.3738211269
246	0.3736473339
247	0.3734510993
248	0.373227202
249	0.372999427
250	0.3727672857
251	0.372602561
252	0.3723390626
253	0.3721921385
254	0.3720254292
255	0.3719172208
256	0.3717102081
257	0.3715437431
258	0.3713964526
259	0.3712547192
260	0.371149564
261	0.3710256618
262	0.370836755
263	0.3705875765
264	0.3703474662
265	0.3701546818
266	0.3699604319
267	0.3697901807
268	0.3695561159
269	0.3694964548
270	0.3693971925
271	0.3692679775
272	0.3690812692
273	0.3689084533
274	0.3687017459
275	0.3686120099
276	0.3684507964
277	0.3683069562
278	0.368220304
279	0.3681428727
280	0.3679977806
281	0.3677660363
282	0.3675422306
283	0.3673990315
284	0.3671483264
285	0.3670041808
286	0.3668594246
287	0.3666405957
288	0.3664241178
289	0.3662104795
290	0.3660592503
291	0.3658071712
292	0.3656709641
293	0.3655143612
294	0.3652913493
295	0.3649899596
296	0.3647896336
297	0.3646894553
298	0.3645490348
299	0.364463268
300	0.3642891392
301	0.3641414824
302	0.3639676894
303	0.3638363371
304	0.363736342
305	0.3635565647
306	0.3633633223
307	0.3632337409
308	0.3630194919
309	0.362919619
310	0.3626777073
311	0.3624687099
312	0.3622471942
313	0.3620863777
314	0.3619681545
315	0.361734853
316	0.3616270415
317	0.361384855
318	0.3612480373
319	0.3611513093
320	0.3609486628
321	0.3608758114
322	0.3605933521
323	0.3604958607
324	0.3602929394
325	0.3601755407
326	0.3600616226
327	0.3599072485
328	0.3596725731
329	0.3595932793
330	0.3593916709
331	0.3593043165
332	0.3592552197
333	0.3591480799
334	0.3589698597
335	0.3587794263
336	0.3586113736
337	0.3585512239
338	0.3583929416
339	0.3581768301
340	0.3579718631
341	0.357828603
342	0.3575961565
343	0.357400502
344	0.3573088729
345	0.3570347185
346	0.3568873365
347	0.3566604775
348	0.3564304735
349	0.3562027596
350	0.3561008409
351	0.3559385894
352	0.3557505682
353	0.355627246
354	0.3553914408
355	0.355336787
356	0.3551132561
357	0.3549134492
358	0.3547423126
359	0.3545616803
360	0.3543864828
361	0.3542171476
362	0.3540764523
363	0.3538574402
364	0.3536958604
365	0.3536023383
366	0.3533921502
367	0.3531708176
368	0.3530614795
369	0.3529118075
370	0.3527365184
371	0.3525952429
372	0.3524668218
373	0.3523495451
374	0.352326676
375	0.3521036336
376	0.3520416214
377	0.3518674315
378	0.3518364407
379	0.3516380688
380	0.3515383485
381	0.351355182
382	0.3511063393
383	0.3509120283
384	0.3507135037
385	0.3506158292
386	0.3504249378
387	0.350326561
388	0.3501234565
389	0.3499944247
390	0.3498019151
391	0.3495505382
392	0.349447154
393	0.3493335718
394	0.3491571225
395	0.3489411942
396	0.3487356777
397	0.3485157496
398	0.3483706575
399	0.3480872516
400	0.3479080238
401	0.3477331928
402	0.3474082012
403	0.3472083942
404	0.3470818051
405	0.3469717647
406	0.3468133603
407	0.3466162708
408	0.3463397043
409	0.3461507365
410	0.3459398767
411	0.3457320091
412	0.3455098521
413	0.3454117195
414	0.3453933388
415	0.345344303
416	0.3451575031
417	0.3449181866
418	0.344718685
419	0.3445422357
420	0.3443459095
421	0.3442178853
422	0.3440698315
423	0.3438706047
424	0.3437737546
425	0.3435344381
426	0.3434919364
427	0.3432719167
428	0.343076934
429	0.3430646598
430	0.3429960525
431	0.3428419837
432	0.3428014056
433	0.3425899962
434	0.3424036848
435	0.3422107477
436	0.3419266396
437	0.3417776088
438	0.3415880303
439	0.3413551563
440	0.3412742748
441	0.341265176
442	0.3411011536
443	0.3408377162
444	0.3406391611
445	0.3403962724
446	0.3403824715
447	0.3401906031
448	0.3399282954
449	0.3397072682
450	0.3395233994
451	0.33941055
452	0.3392079951
453	0.3389953033
454	0.3388005954
455	0.3385392342
456	0.3384759396
457	0.3382215094
458	0.3379541333
459	0.3376768951
460	0.3374791033
461	0.3372163377
462	0.3370113096
463	0.3368783391
464	0.3366665633
465	0.3365257458
466	0.3363368085
467	0.3362026472
468	0.3359909935
469	0.3357565624
470	0.3355602056
471	0.3352781127
472	0.3350963812
473	0.3348873533
474	0.3347078202
475	0.3346163438
476	0.3346074893
477	0.3344920751
478	0.334283719
479	0.3340730424
480	0.3339141495
481	0.3337020073
482	0.3335851886
483	0.3333812903
484	0.3332199547
485	0.3329689442
486	0.3328209515
487	0.3326688063
488	0.3325084784
489	0.3323346854
490	0.3321717622
491	0.3320219069
492	0.3317333105
493	0.331629682
494	0.3314466071
495	0.3311789867
496	0.3309143585
497	0.330700079
498	0.330522042
499	0.3303939567
500	0.3302428802
501	0.3300185554
502	0.329842442
503	0.329613293
504	0.3294759257
505	0.329287935
506	0.3290742051
507	0.3288890844
508	0.3288805963
509	0.328615846
510	0.3284607392
511	0.3283173569
512	0.3281242672
513	0.3278989959
514	0.3277191574
515	0.3275377313
516	0.3273153911
517	0.3271412317
518	0.3269953764
519	0.3267820434
520	0.3266209521
521	0.3264881342
522	0.3262989222
523	0.3260944742
524	0.3258606842
525	0.3257134549
526	0.3254587499
527	0.3252480427
528	0.3250948594
529	0.3249125173
530	0.3248068126
531	0.3245894493
532	0.3244485402
533	0.3242411611
534	0.3240959469
535	0.3239714645
536	0.3238318378
537	0.3236320003
538	0.3234577494
539	0.3234496582
540	0.3232206924
541	0.3230090998
542	0.3228437339
543	0.3226247523
544	0.3224094958
545	0.3223980154
546	0.3222564957
547	0.322073207
548	0.3218509279
549	0.3215873684
550	0.3213911033
551	0.3211838158
552	0.3209738414
553	0.3207851484
554	0.3206046383
555	0.3204503253
556	0.3202536937
557	0.3200679319
558	0.3199119701
559	0.3197211399
560	0.3197130792
561	0.3195250274
562	0.31931316
563	0.3193058932
564	0.3191496871
565	0.3191424203
566	0.3190554017
567	0.318820482
568	0.3186472997
569	0.3184312798
570	0.3182406633
571	0.3180970368
572	0.3180053772
573	0.3178340269
574	0.3176606003
575	0.3174730065
576	0.3173223575
577	0.3171989742
578	0.3170844455
579	0.3169201483
580	0.3167434547
581	0.3165044436
582	0.3163054305
583	0.3160737473
584	0.315901481
585	0.3156993536
586	0.3155320947
587	0.3153463634
588	0.3151650288
589	0.3149571917
590	0.3148017185
591	0.3146289942
592	0.3144657656
593	0.3143560916
594	0.314155613
595	0.3139935446
596	0.3137507169
597	0.3135745119
598	0.3134022456
599	0.3132282083
600	0.3130668117
601	0.31288163
602	0.3126583433
603	0.3125045494
604	0.3123497173
605	0.3121588871
606	0.3119872925
607	0.3117869054
608	0.3116481336
609	0.3115522605
610	0.311365827
611	0.3111786606
612	0.3110881918
613	0.310889942
614	0.3106995392
615	0.3105725531
616	0.3103873409
617	0.3102355316
618	0.3100855543
619	0.3099061738
620	0.3097390675
621	0.3096299737
622	0.3094896447
623	0.3092722509
624	0.3090849013
625	0.3089986155
626	0.3088363334
627	0.3087131334
628	0.308591857
629	0.3084085988
630	0.3083180384
631	0.3081752974
632	0.3081071175
633	0.3079274317
634	0.3078006899
635	0.3076487279
636	0.30746892
637	0.3072733266
638	0.307159378
639	0.307084939
640	0.30693716
641	0.3068354551
642	0.3067327731
643	0.3065446908
644	0.3063603946
645	0.3061760372
646	0.3059876496
647	0.3057775836
648	0.3056349952
649	0.3054784839
650	0.3053115608
651	0.3051603316
652	0.3050008891
653	0.3047896324
654	0.3046202667
655	0.3044040941
656	0.304193845
657	0.303981031
658	0.3038456179
659	0.3036702678
660	0.3035463044
661	0.3034211808
662	0.3033005761
663	0.3031919402
664	0.302993721
665	0.3028838943
666	0.3026728513
667	0.3025004018
668	0.3023278607
669	0.3021898217
670	0.3019698326
671	0.301814054
672	0.3017042579
673	0.30145569
674	0.3013214066
675	0.3011849247
676	0.301003468
677	0.3008699174
678	0.3007829598
679	0.3006643703
680	0.3005135991
681	0.3003218528
682	0.3001697382
683	0.2999973497
684	0.2997868258
685	0.2996785563
686	0.2995168849
687	0.2993546334
688	0.299196748
689	0.2990333973
690	0.2989293719
691	0.2987775015
692	0.2986502101
693	0.2984900653
694	0.2982984717
695	0.2981660508
696	0.2980848334
697	0.2979401993
698	0.2978488145
699	0.2977057376
700	0.2975290746
701	0.2973673421
702	0.2972014572
703	0.2969534999
704	0.2967803482
705	0.2966881695
706	0.2964794775
707	0.2962927692
708	0.2961450513
709	0.2959679608
710	0.2958504093
711	0.295693501
712	0.2955172349
713	0.2953102833
714	0.295161222
715	0.2950513648
716	0.2948975403
717	0.2946904971
718	0.2945347185
719	0.2943537504
720	0.2941871326
721	0.2940432008
722	0.2939012231
723	0.2937234914
724	0.2936630058
725	0.2935284781
726	0.2934068658
727	0.2932377138
728	0.2932244015
729	0.2930869732
730	0.292906463
731	0.2927635082
732	0.2925626021
733	0.2924057243
734	0.2922604491
735	0.2921753235
736	0.2920003703
737	0.2919074894
738	0.2918999478
739	0.2917609928
740	0.2917506116
741	0.2915626514
742	0.2914334364
743	0.2911801054
744	0.2910487531
745	0.2909350794
746	0.2907737438
747	0.2906653522
748	0.2905308856
749	0.2903631381
750	0.290280272
751	0.2900911515
752	0.2899539369
753	0.2898379121
754	0.2896594171
755	0.2894573507
756	0.2892695738
757	0.289177334
758	0.2890501342
759	0.288945376
760	0.2887281654
761	0.2885556548
762	0.2883871135
763	0.2882082521
764	0.2879778818
765	0.2878024095
766	0.2877160321
767	0.2874914935
768	0.2873323869
769	0.2872106524
770	0.2871526706
771	0.2870236388
772	0.2869165296
773	0.2868168093
774	0.2866896095
775	0.2865815842
776	0.2864619871
777	0.2862982395
778	0.2861938171
779	0.2861865808
780	0.2860208486
781	0.2859509894
782	0.2858336212
783	0.2856840713
784	0.2855342466
785	0.2854003296
786	0.2852836025
787	0.285172982
788	0.2849696333
789	0.2848166026
790	0.2846580761
791	0.2844933209
792	0.2843396796
793	0.2843341226
794	0.284138285
795	0.283984491
796	0.2838725881
797	0.2837389154
798	0.2836219746
799	0.283483844
800	0.2832781747
801	0.2831062138
802	0.2829832885
803	0.2827573149
804	0.2825889263
805	0.2824137288
806	0.2822552939
807	0.2821561538
808	0.2819642854
809	0.2818089343
810	0.2816917797
811	0.2816268058
812	0.2815591451
813	0.2814045878
814	0.2812716173
815	0.2811670728
816	0.2810310184
817	0.2809040934
818	0.2807988162
819	0.2806482892
820	0.2805056092
821	0.280312031
822	0.2801649848
823	0.2801572906
824	0.2800291442
825	0.2798935478
826	0.2797580431
827	0.2797502877
828	0.2796032416
829	0.2795082844
830	0.279347071
831	0.2791986203
832	0.2790341704
833	0.2789058714
834	0.2788033726
835	0.2786530594
836	0.2784718775
837	0.2782722843
838	0.278154336
839	0.2780596231
840	0.2779109892
841	0.2778091316
842	0.2776754588
843	0.2776694744
844	0.2774846285
845	0.2772894626
846	0.2771883684
847	0.277182964
848	0.2769823022
849	0.2768496675
850	0.2766613409
851	0.2764439165
852	0.2763014198
853	0.2762133936
854	0.2761070171
855	0.2761003915
856	0.2759727947
857	0.2758088639
858	0.2757110977
859	0.2755992559
860	0.2754258599
861	0.2753322462
862	0.2751876426
863	0.2750732055
864	0.2749391969
865	0.2748064706
866	0.2746880337
867	0.2745350642
868	0.2744069178
869	0.27428155
870	0.2741369464
871	0.273959001
872	0.2738352208
873	0.2736897929
874	0.2735858896
875	0.27343005
876	0.2732938124
